Number, Place                         , Name of library.                                                , When founded., Free or subscription., Class.         , Number of volumes.          , Average yearly additions., Yearly circulation., Amount of permanent fund., Total yearly income from all sources., "Books, periodicals, and binding.", Salaries and incidentals.
1408  , "Salem, Mass"                 , State Normal School                                             , 1854         ,                      , Acad           , "8,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
1409  , "Salem, Mass"                 , Young Men's Catholic Temperance Society                         ,              , Sub                  , Soc'l          , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1410  , "Salisbury, Mass"             , Agricultural Library                                            ,              , Free                 , Soc'l          , 300                         ,                          ,                    , 500                      ,                                      ,                                   , 
1411  , "Sandwich, Mass"              , Sandwich Circulating Library                                    , 1864         , Sub                  , Mis            , "1,200"                     , 100                      ,                    ,                          ,                                      ,                                   , 
1412  , "Seekonk, Mass"               , Public School Libraries                                         ,              ,                      , Sch            , 336                         ,                          ,                    ,                          ,                                      ,                                   , 
1413  , "Sheffield, Mass"             , Friendly Union                                                  , 1870         , Free                 , Soc'l          , 420                         , 50                       , "1,040"            , 0                        ,                                      , $50                               , $50
1414  , "Shelburne Centre, Mass"      , First Independent Social Library Company                        , 1821         , Sub                  , Soc'l          , 950                         , 15                       , 270                ,                          , 16                                   , 16                                , 0
1415  , "Shelburne Falls, Mass"       , Arms Library                                                    , 1854         , Sub                  , Soc'l          , "4,133"                     , 16                       ,                    , "5,400"                  ,                                      ,                                   , 
1416  , "Sherborn, Mass"              , Public Library                                                  , 1860         , Free                 , Pub            , "2,025"                     , 120                      , "8,000"            , 0                        ,                                      ,                                   , 
1417  , "Shirley Village, Mass"       , Shaker Community                                                ,              , Free                 , Soc'l          , "2,000"                     ,                          ,                    , 0                        , 0                                    ,                                   , 
1418  , "Shrewsbury, Mass"            , Free Public Library                                             , 1872         , Free                 , Pub            , "1,000"                     , 150                      , "3,500"            ,                          , 200                                  ,                                   , 312
1419  , "Somerville, Mass"            , McLean Asylum                                                   , 1855         ,                      , A. & R.        , "3,500"                     ,                          ,                    ,                          , 300                                  , 300                               , 
1420  , "Somerville, Mass"            , Public Library                                                  , 1873         , Free                 , Pub            , "4,600"                     , "2,000"                  , "22,000"           , 0                        , "5,162"                              ,                                   , "1,500"
1421  , "Southboro', Mass"            , Fay Library                                                     , 1851         , Free                 , Pub            , "3,370"                     , 100                      , "8,000"            , "1,500"                  ,                                      ,                                   , 
1422  , "Southbridge, Mass"           , Public Library                                                  , 1870         , Free                 , Pub            , "5,500"                     , 782                      , "14,700"           , 0                        , "1,852"                              , 855                               , 971
1423  , "South Dedham, Mass"          , Norwood Public Library                                          , 1873         , Free                 , Pub            , "2,100"                     , 200                      , "12,000"           , 200                      , 614                                  , 300                               , 215
1424  , South Dennis                  , Library Association                                             , 1873         , Sub                  , Pub            , 500                         , 25                       , "1,000"            , 25                       , 50                                   , 50                                , 0
1425  , "South Gardner, Mass"         , South Gardner Social Library                                    , 1841         , Sub                  , Soc'l          , "1,163"                     ,                          ,                    , 500                      ,                                      ,                                   , 50
1426  , "South Hadley, Mass"          , Mt. Holyoke Female Seminary                                     , 1838         ,                      , Acad           , "9,500"                     ,                          ,                    , 0                        ,                                      ,                                   , 
1427  , "South Natick, Mass"          , Historical Natural History and Library Society                  ,              ,                      , Hist'l         , 425                         ,                          ,                    , 0                        , 0                                    ,                                   , 0
1428  , "South Scituate, Mass"        , James Library                                                   , 1873         , Free                 , Pub            , "1,100"                     , 150                      , "4,000"            ,                          , 400                                  , 250                               , 150
1429  , "South Sudbury, Mass"         , Goodnow Library                                                 , 1862         , Free                 , Pub            , "5,300"                     , 250                      ,                    , "20,000"                 ,                                      ,                                   , 
1430  , "South Williamstown, Mass"    , Greylock Institute                                              , 1842         ,                      , Acad           , 400                         , 25                       ,                    , 0                        ,                                      ,                                   , 
1431  , "Spencer, Mass"               , Public Library                                                  , 1860         , Free                 , Pub            , "2,070"                     , 100                      , "10,000"           ,                          , 45                                   , 200                               , 175
1432  , "Springboro', Mass"           , Library Company                                                 , 1836         , Sub                  , Soc'l          , "2,000"                     , 25                       , 100                , 0                        , 25                                   , 25                                , 0
1433  , "Springfield, Mass"           , Central Circulating Library                                     , 1867         , Sub                  , Mis            , "1,200"                     , 150                      ,                    , 0                        , "1,000"                              , 175                               , 0
1434  , "Springfield, Mass"           , City Library Association                                        , 1857         , Sub                  , Soc'l          , "36,790"                    , "1,500"                  , "40,000"           , "5,000"                  , "7,500"                              , "3,000"                           , "4,500"
1435  , "Springfield, Mass"           , Gill & Hayes' Circulating Library                               , 1871         , Sub                  , Mis            , "1,200"                     , 300                      , "16,500"           ,                          , 450                                  , 300                               , 300
1436  , "Springfield, Mass"           , Hampden County Law Library                                      , 1812         , Free                 , Law            , "1,503"                     , 250                      ,                    , 0                        , "1,000"                              , "1,000"                           , 0
1437  , "Springfield, Mass"           , Young Men's Christian Association                               , 1865         , Free                 , Y.M.C.A        , 300                         ,                          , 200                , 0                        ,                                      ,                                   , 
1438  , "Sterling, Mass"              , Free Public Library                                             , 1870         , Free                 , Pub            , "2,500"                     , 250                      , "9,336"            ,                          , 300                                  , 333                               , 150
1439  , "Stockbridge, Mass"           , Edwards Place School                                            , 1858         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
1440  , "Stockbridge, Mass"           , Jackson Library                                                 , 1863         , Free                 , Pub            , "4,000"                     , 113                      , "12,000"           , "1,200"                  ,                                      ,                                   , 
1441  , "Stoneham, Mass"              , Public Library                                                  , 1859         , Free                 , Pub            , "4,651"                     , 250                      , "14,000"           , 0                        ,                                      , 500                               , 800
1442  , "Stoughton, Mass"             , Public Library                                                  , 1874         , Free                 , Pub            , 962                         ,                          , "13,000"           , 0                        , 550                                  ,                                   , 
1443  , "Stoughton, Mass"             , Stoughton Circulating Library                                   , 1870         , Sub                  , Mis            , 700                         , 100                      , "2,500"            , 0                        , 300                                  , 150                               , 50
1444  , "Sturbridge, Mass"            , Public Library                                                  , 1873         , Free                 , Pub            , "1,140"                     , 239                      , "5,943"            , 0                        ,                                      , 250                               , 100
1445  , "Sunderland, Mass"            , Sunderland Library                                              , 1869         , Sub                  , Pub            , "1,520"                     ,                          ,                    , 0                        ,                                      ,                                   , 50
1446  , "Sutton, Mass"                , Sutton Free Library                                             , 1875         , Free                 , Pub            , "1,200"                     ,                          , "3,600"            , 0                        ,                                      ,                                   , 0
1447  , "Swampscott, Mass"            , Town Library                                                    , 1868         , Sub                  , Pub            , "2,225"                     , 200                      , "8,000"            ,                          , 520                                  ,                                   , 
1448  , "Swansea, Mass"               , Agricultural Library Association                                ,              ,                      , Soc'l          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
1449  , "Taunton, Mass"               , Bristol County Law Library Association                          , 1858         , Free                 , Law            , "1,200"                     , 100                      ,                    , 0                        , 450                                  , 450                               , 0
1450  , "Taunton, Mass"               , Dickerman's Circulating Library                                 , 1870         , Sub                  , Mis            , "2,000"                     , 200                      , "10,000"           ,                          ,                                      , 200                               , 
1451  , "Taunton, Mass"               , Lunatic Hospital                                                , 1860         ,                      , A. & R.        , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1452  , "Taunton, Mass"               , Public Library                                                  , 1866         , Free                 , Pub            , "12,726"                    , 550                      , "44,864"           , "1,000"                  , "4,352"                              , "1,150"                           , "1,470"
1453  , "Templeton, Mass"             , Boynton Free Public Library                                     , 1873         , Free                 , Pub            , "1,400"                     ,                          , "9,600"            , "4,000"                  ,                                      ,                                   , 150
1454  , "Templeton, Mass"             , Ladies' Social Circle                                           , 1840         , Sub                  , Soc'l          , "1,400"                     , 75                       , "3,120"            , 0                        ,                                      , 100                               , 0
1455  , "Tewksbury, Mass"             , State Almshouse                                                 , 1854         ,                      , A. & R.        , 590                         ,                          ,                    ,                          , 50                                   , 50                                , 
1456  , "Topsfield, Mass"             , Town Library                                                    , 1875         , Free                 , Pub            , "1,250"                     ,                          , "7,700"            , 0                        ,                                      , 700                               , 75
1457  , "Townsend, Mass"              , Public Library                                                  , 1861         , Sub                  , Pub            , "1,064"                     , 71                       , "3,200"            , 0                        , 150                                  , 100                               , 45
1458  , "Tyngsboro', Mass"            , Social Library                                                  ,              , Sub                  , Soc'l          , 350                         ,                          ,                    ,                          ,                                      ,                                   , 
1459  , "Upton, Mass"                 , Town Library                                                    , 1871         , Free                 , Pub            , 825                         , 75                       , "3,000"            , 0                        , 400                                  , 250                               , 150
1460  , "Uxbridge, Mass"              , Free Public Library                                             , 1874         , Free                 , Pub            , "1,000"                     , 500                      , "3,500"            , 0                        , 325                                  , 300                               , 100
1461  , "Vineyard Haven, Mass"        , Sailors' Free Library                                           ,              ,                      , Mis            , "1,400"                     , 100                      ,                    , 0                        , 0                                    ,                                   , 
1462  , "Wakefield, Mass"             , Beebe Town Library                                              , 1856         , Free                 , Pub            , "4,897"                     , 300                      , "26,842"           , "$1,000"                 , $570                                 , $375                              , $275
1463  , "Wales, Mass"                 , Library Association                                             , 1866         , Sub                  , Soc'l          , 442                         , 20                       , "1,000"            , 0                        , 27                                   , 27                                , 0
1464  , "Waltham, Mass"               , New Church Theological School                                   , 1866         ,                      , The'l          , 550                         ,                          ,                    ,                          ,                                      ,                                   , 
1465  , "Waltham, Mass"               , Public Library                                                  , 1865         , Free                 , Pub            , "7,560"                     , 300                      , "39,375"           , 0                        , "2,500"                              , "1,000"                           , "1,500"
1466  , "Ware, Mass"                  , Young Men's Association                                         , 1870         , Sub                  , Soc'l          , "2,100"                     , 425                      , "27,000"           , 0                        , "1,050"                              , 646                               , 400
1467  , "Warwick, Mass"               , Public Library                                                  , 1870         , Free                 , Pub            , "1,300"                     , 100                      , "2,400"            , 0                        , 135                                  , 35                                , 100
1468  , "Watertown, Mass"             , Free Public Library                                             , 1868         , Free                 , Pub            , "8,300"                     , 729                      , "25,000"           ,                          , "2,350"                              , "1,100"                           , "1,250"
1469  , "Watertown, Mass"             , United States Arsenal                                           , 1867         ,                      , Gar            , 353                         ,                          ,                    ,                          ,                                      ,                                   , 
1470  , "Wayland, Mass"               , Free Public Library                                             , 1848         , Free                 , Pub            , "4,782"                     , 400                      , "8,000"            , 500                      ,                                      ,                                   , 
1471  , "Wellesley, Mass"             , Library Association                                             , 1859         , Sub                  , Pub            , 890                         , 60                       , "2,080"            , 0                        , 95                                   , 62                                , 10
1472  , "Wellesley, Mass"             , Wellesley College                                               , 1875         ,                      , Col            , "10,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
1473  , "Wellfleet, Mass"             , Workers' Library                                                , 1874         , Sub                  , Soc'l          , 350                         , 300                      ,                    , 0                        , 350                                  , 350                               , 0
1474  , "Westboro', Mass"             , Free Public Library                                             , 1857         , Free                 , Pub            , "2,250"                     , 100                      , "7,500"            ,                          ,                                      ,                                   , 
1475  , "Westboro', Mass"             , State Reform School                                             , 1855         ,                      , A. & R.        , "2,368"                     ,                          ,                    , 0                        ,                                      ,                                   , 
1476  , "West Brookfield, Mass"       , Public Library                                                  , 1874         , Free                 , Pub            , "1,408"                     ,                          , "10,080"           , 0                        , 200                                  ,                                   , 200
1477  , "West Dennis, Mass"           , Public Library                                                  , 1874         , Sub                  , Pub            , 274                         ,                          , "1,000"            , 0                        , 75                                   , 75                                , 0
1478  , "Westfield, Mass"             , Athenæum                                                        , 1864         , Sub                  , Soc'l          , "7,306"                     , 608                      ,                    , "10,000"                 ,                                      ,                                   , 
1479  , "Westfield, Mass"             , State Normal School                                             , 1844         ,                      , Acad           , "1,560"                     , 100                      ,                    , 0                        ,                                      ,                                   , 
1480  , "Westford, Mass"              , Town Library                                                    , 1797         , Free                 , Pub            , "2,356"                     , 240                      , "8,000"            , 0                        ,                                      ,                                   , 
1481  , "Westminster, Mass"           , Westminster Library                                             , 1855         , Free                 , Pub            , 850                         , 50                       , "5,000"            , 0                        , 150                                  , 100                               , 50
1482  , "West Newbury, Mass"          , Library Association                                             , 1874         , Sub                  , Pub            , 750                         , 225                      , "2,800"            , 0                        , 100                                  , 250                               , 20
1483  , "West Newton, Mass"           , West Newton English and Classical School                        , 1855         ,                      , Acad           , 450                         ,                          ,                    , 0                        ,                                      ,                                   , 
1484  , "Weston, Mass"                , Town Library                                                    , 1857         , Free                 , Pub            , "3,800"                     , 220                      , "10,000"           , "1,400"                  , 252                                  ,                                   , 
1485  , "West Roxbury, Mass"          , Free Library                                                    , 1823         , Free                 , Pub            , "2,684"                     , 229                      , "8,000"            ,                          , 400                                  ,                                   , 
1486  , "West Scituate, Mass"         , Assinippi Library                                               , 1869         , Sub                  , Pub            , 750                         , 75                       , "1,000"            , 0                        , 180                                  , 100                               , 24
1487  , "West Springfield, Mass"      , Public Library                                                  , 1854         , Sub                  , Pub            , "1,623"                     , 218                      , "5,000"            ,                          , 390                                  ,                                   , 50
1488  , "Whately, Mass"               , Whately Library                                                 ,              , Free                 , Pub            , 375                         ,                          , "1,500"            , 0                        , 85                                   ,                                   , 100
1489  , "Wilbraham, Mass"             , Wesleyan Academy                                                , 1866         , Sub                  , Acad           , "3,409"                     , 75                       , "1,783"            , 0                        , 187                                  , 187                               , 100
1490  , "Wilbraham, Mass"             , Club Library                                                    ,              , Sub                  , Soc'l          , "1,000"                     ,                          , 300                , 0                        , 0                                    ,                                   , 0
1491  , "Wilbraham, Mass"             , Union Philosophical Society                                     , 1852         , Sub                  , Soc'l          , "1,000"                     ,                          , 400                , 0                        , 0                                    ,                                   , 0
1492  , "Williamstown, Mass"          , Williams College                                                , 1793         , Sub                  , Col            , "17,500"                    , 400                      ,                    , "10,000"                 , 900                                  , 900                               , 
1493  , "Williamstown, Mass"          , Philologian Society                                             , 1795         ,                      , Soc'y          , "5,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1494  , "Williamstown, Mass"          , Philotechnian Society                                           , 1795         ,                      , Soc'y          , "5,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1495  , "Wilmington, Mass"            , Public Library                                                  , 1871         , Free                 , Pub            , "1,000"                     , 200                      , "3,000"            , 0                        , 100                                  , 75                                , 25
1496  , "Winchendon, Mass"            , Public Library                                                  , 1867         , Free                 , Pub            , "2,264"                     , 164                      , "9,000"            , 0                        ,                                      ,                                   , 
1497  , "Winchester, Mass"            , Town Library                                                    , 1860         , Free                 , Pub            , "3,100"                     , 363                      , "12,000"           , 0                        ,                                      ,                                   , 
1498  , "Woburn, Mass"                , Town Library                                                    , 1856         , Free                 , Pub            , "6,500"                     , 550                      , "20,000"           , "6,000"                  , "1,550"                              , 728                               , 600
1499  , "Woburn, Mass"                , Warren Academy                                                  ,              ,                      , Acad           , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
1500  , "Worcester, Mass"             , American Antiquarian Society                                    , 1812         ,                      , Hist'l         , "60,497"                    , "1,500"                  ,                    , "80,303"                 , "5,800"                              ,                                   , 
1501  , "Worcester, Mass"             , Chamberlain's Circulating Library                               , 1868         , Sub                  , Mis            , "2,500"                     , 200                      , "17,000"           , "3,000"                  , "1,375"                              , 400                               , 
1502  , "Worcester, Mass"             , College of the Holy Cross                                       , 1843         , Free                 , Col            , "11,000"                    , 200                      ,                    , 0                        , 0                                    , 600                               , 0
1503  , "Worcester, Mass"             , B. J. F. Society                                                ,              ,                      , Soc'y          , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
1504  , "Worcester, Mass"             , Sodality and Reading Room Libraries                             ,              ,                      , Soc'y          , 400                         ,                          ,                    ,                          ,                                      ,                                   , 
1505  , "Worcester, Mass"             , Free Public Library                                             , 1859         , Free                 , Pub            , "34,609"                    , "4,043"                  , "123,125"          , "45,700"                 , "17,741"                             , "7,794"                           , "8,645"
1506  , "Worcester, Mass"             , Highland Military Academy                                       , 1860         ,                      , Acad           , "2,000"                     , 25                       ,                    , 0                        ,                                      ,                                   , 
1507  , "Worcester, Mass"             , House of Correction                                             , 1840         ,                      , A. & R.        , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
1508  , "Worcester, Mass"             , Oread Collegiate Institute                                      , 1850         ,                      , Acad           , "2,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
1509  , "Worcester, Mass"             , School of Modern Languages                                      , 1875         ,                      , Acad           , 400                         ,                          ,                    ,                          ,                                      ,                                   , 
1510  , "Worcester, Mass"             , South End Circulating Library                                   , 1872         , Sub                  , Mis            , 300                         , 100                      , "4,000"            ,                          ,                                      ,                                   , 
1511  , "Worcester, Mass"             , State Normal School                                             , 1874         ,                      , Acad           , 567                         ,                          ,                    , 0                        ,                                      ,                                   , 
1512  , "Worcester, Mass"             , Technical Institute of Reference                                ,              , Free                 , Acad           , "1,000"                     , 50                       ,                    , 0                        ,                                      , 100                               , 0
1513  , "Worcester, Mass"             , Worcester Academy                                               , 1832         , Free                 , Acad           , "1,000"                     ,                          , "1,000"            , 0                        , 0                                    , 0                                 , 0
1514  , "Worcester, Mass"             , Worcester County Free Institute of Industrial Science           , 1868         ,                      , Sci            , "1,000"                     , 50                       ,                    ,                          ,                                      , 100                               , 0
1515  , "Worcester, Mass"             , Worcester County Horticultural Society                          , 1840         ,                      , Sci            , "1,100"                     , 30                       ,                    , 0                        , 350                                  ,                                   , 
1516  , "Worcester, Mass"             , Worcester County Law Library                                    ,              ,                      , Law            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1517  , "Worcester, Mass"             , Worcester County Mechanics' Association                         , 1842         , Sub                  , Soc'l          , "4,450"                     , 650                      ,                    , 0                        ,                                      ,                                   , 
1518  , "Worcester, Mass"             , Worcester County Musical Association                            ,              , Free                 , Soc'l          , "1,500"                     , 600                      ,                    ,                          ,                                      , 200                               , 
1519  , "Worcester, Mass"             , Worcester District Medical Society                              , 1798         ,                      , Med            , "4,000"                     , 100                      ,                    , "6,000"                  ,                                      ,                                   , 
1520  , "Yarmouth, Mass"              , Library Association                                             , 1866         , Free                 , Pub            , "1,536"                     , 200                      , "5,000"            , "$5,000"                 ,                                      , $300                              , $50
1521  , "Adrian, Mich"                , Adrian College                                                  , 1860         ,                      , Col            , 500                         ,                          ,                    , 0                        ,                                      ,                                   , 
1522  , "Adrian, Mich"                , "Society Libraries, (3)"                                        ,              ,                      , Soc'y          , 925                         , 150                      ,                    ,                          ,                                      ,                                   , 
1523  , "Adrian, Mich"                , Ladies' Library Association                                     , 1868         , Sub                  , Soc'l          , "1,950"                     , 94                       ,                    , 600                      ,                                      ,                                   , 
1524  , "Adrian, Mich"                , Public School Library                                           , 1868         , Free                 , Acad           , "2,050"                     , 275                      ,                    , 0                        ,                                      ,                                   , 
1525  , "Albion, Mich"                , Albion College                                                  , 1843         , Free                 , Col            , "1,000"                     ,                          ,                    , 0                        , $0                                   , 0                                 , 0
1526  , "Albion, Mich"                , Ladies' Library Association                                     ,              , Sub                  , Soc'l          , 602                         , 50                       , 602                , 0                        ,                                      ,                                   , 0
1527  , "Allegan, Mich"               , Literary and Library Association                                , 1871         , Sub                  , Soc'l          , 630                         ,                          , "2,500"            ,                          , 300                                  ,                                   , 100
1528  , "Allegan, Mich"               , Township Library                                                ,              ,                      , Pub            , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
1529  , "Alpena, Mich"                , Union School                                                    , 1870         , Free                 , Acad           , "1,158"                     , 400                      ,                    ,                          ,                                      ,                                   , 75
1530  , "Ann Arbor, Mich"             , High School                                                     , 1859         ,                      , Acad           , 750                         ,                          ,                    ,                          ,                                      ,                                   , 
1531  , "Ann Arbor, Mich"             , The Misses Clarks' Young Ladies' School                         , 1839         ,                      , Acad           , "2,350"                     ,                          ,                    ,                          ,                                      ,                                   , 
1532  , "Ann Arbor, Mich"             , University of Michigan                                          , 1841         , Free                 , Col            , "23,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
1533  , "Ann Arbor, Mich"             , Law Department                                                  , 1858         ,                      , Law            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
1534  , "Ann Arbor, Mich"             , Medical Department                                              , 1850         ,                      , Med            , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
1535  , "Ann Arbor, Mich"             , Young Men's Christian Association                               ,              ,                      , Y.M.C.A        , 900                         ,                          ,                    ,                          ,                                      ,                                   , 
1536  , "Battle Creek, Mich"          , Ladies' Library Association                                     , 1864         , Sub                  , Soc'l          , "1,180"                     , 100                      , "1,816"            , 900                      , 90                                   ,                                   , 45
1537  , "Battle Creek, Mich"          , Public School Library                                           ,              ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
1538  , "Bay City, Mich"              , Bay County Law Library                                          , 1872         ,                      , Law            , "1,207"                     ,                          ,                    ,                          ,                                      ,                                   , 
