Number, Place                         , Name of library.                                                , When founded., Free or subscription., Class.         , Number of volumes.          , Average yearly additions., Yearly circulation., Amount of permanent fund., Total yearly income from all sources., "Books, periodicals, and binding.", Salaries and incidentals.
51    , "Knight's Ferry, Cal"         , Public Library                                                  , 1860         , Free                 , Pub            , "1,650"                     , 65                       , "1,000"            ,                          , 100                                  , 50                                , 50
52    , "Los Angeles, Cal"            , St. Vincent's College                                           , 1867         ,                      , Col            , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
53    , "Maryville, Cal"              , Odd Fellows' Library                                            , 1863         , Free                 , Soc'l          , "1,200"                     ,                          , 480                ,                          ,                                      ,                                   , 150
54    , "Monterey, Cal"               , Monterey Library                                                , 1849         , Sub                  , Soc'l          , 800                         , 0                        ,                    , $0                       , $0                                   , $0                                , $0
55    , "Napa, Cal"                   , Napa Collegiate Institute                                       , 1870         ,                      , Acad           , 512                         , 20                       ,                    , 0                        ,                                      ,                                   , 
56    , "Nevada City, Cal"            , Odd Fellows' Library                                            , 1855         , Free                 , Soc'l          , "2,340"                     , 60                       , 900                ,                          ,                                      ,                                   , 300
57    , "Nevada City, Cal"            , Public School Library                                           ,              ,                      , Sch            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
58    , "Oakland, Cal"                , California Institution for the Deaf and Dumb and the Blind      , 1866         ,                      , Acad           , 300                         ,                          ,                    , 600                      ,                                      ,                                   , 
59    , "Oakland, Cal"                , California Military Academy                                     , 1865         ,                      , Acad           , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
60    , "Oakland, Cal"                , Convent of Our Lady of the Sacred Heart                         , 1869         ,                      , Acad           , 900                         , 100                      ,                    , 0                        ,                                      ,                                   , 
61    , "Oakland, Cal"                , Oakland High School                                             , 1869         ,                      , Acad           , 400                         , 20                       ,                    , 0                        ,                                      ,                                   , 
62    , "Oakland, Cal"                , Oakland Library Association                                     , 1868         , Sub                  , Soc'l          , "4,000"                     , 332                      , "13,954"           ,                          , "1,687"                              , 511                               , "1,080"
63    , "Oakland, Cal"                , Odd Fellows' Library                                            , 1867         , Free                 , Soc'l          , "2,498"                     , 454                      , "7,774"            , 0                        , "1,000"                              , 525                               , 475
64    , "Oakland, Cal"                , Pacific Theological Seminary                                    , 1869         ,                      , The'l          , "1,860"                     , 150                      ,                    , 100                      , 9                                    , 20                                , 0
65    , "Oakland, Cal"                , University of California                                        , 1869         , Free                 , Col            , "12,000"                    ,                          ,                    ,                          , "*2,400"                             ,                                   , 
66    , "San Francisco, Cal"          , Medical Department                                              , 1864         ,                      , Med            , "1,600"                     ,                          ,                    ,                          ,                                      ,                                   , 
67    , "Oroville, Cal"               , Ladies' Library                                                 , 1860         , Sub                  , Soc'l          , 802                         , 75                       , "2,360"            , 172                      , 175                                  , 75                                , 60
68    , "Petaluma City, Cal"          , Odd Fellows' Library                                            , 1866         , Sub                  , Soc'l          , "1,685"                     , 234                      ,                    ,                          ,                                      ,                                   , 
69    , "Placerville, Cal"            , Neptune Library                                                 , 1856         , Sub                  , Soc'l          , "1,750"                     , 100                      , 500                , 0                        ,                                      , 0                                 , 
70    , "Point San José, Cal"         , Company and Post Library                                        , 1869         ,                      , Gar            , 580                         ,                          ,                    ,                          ,                                      ,                                   , 
71    , "Sacramento, Cal"             , California State Library                                        , 1850         ,                      , State          , "37,000"                    , "1,500"                  ,                    ,                          ,                                      , "6,000"                           , "1,200"
72    , "Sacramento, Cal"             , Library Association                                             , 1857         , Sub                  , Soc'l          , "5,539"                     , 87                       , "5,000"            , 0                        ,                                      ,                                   , 
73    , "Sacramento, Cal"             , Odd Fellows' Library                                            , 1872         , Free                 , Soc'l          , "3,013"                     , 350                      , "6,800"            , 0                        , "1,000"                              , 600                               , 400
74    , "Sacramento, Cal"             , Sacramento Business College                                     , 1873         ,                      , Acad           , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
75    , "Sacramento, Cal"             , Sacramento Seminary                                             , 1863         ,                      , Acad           , 350                         ,                          ,                    ,                          ,                                      ,                                   , 
76    , "Sacramento, Cal"             , Supreme Court Library                                           , 1868         ,                      , Law            , "5,600"                     , 500                      ,                    ,                          , "2,500"                              , "1,500"                           , 
77    , "San Francisco, Cal"          , Academy of Notre Dame                                           , 1866         ,                      , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 300
78    , "San Francisco, Cal"          , Bancroft Pacific Library                                        , 1859         , Free                 , Hist           , "12,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
79    , "San Francisco, Cal"          , Bibliothèque de la Ligue Nationale Française                    , 1875         , Sub                  , Soc'l          , "6,000"                     , "† 3,600"                ,                    , 0                        ,                                      , "‡ 1,160"                         , "† 4,000"
80    , "San Francisco, Cal"          , City and County Alms House                                      , 1870         ,                      , A. & R.        , 672                         , 100                      ,                    , 0                        , 0                                    , 0                                 , 0
81    , "San Francisco, Cal"          , City and County Industrial school                               ,              ,                      , A. & R.        , 800                         ,                          ,                    ,                          ,                                      ,                                   , 
82    , "San Francisco, Cal"          , Eureka Turn-Verein                                              , 1866         , Free                 , Soc'l          , 470                         ,                          ,                    , 0                        , 0                                    , 125                               , 0
83    , "San Francisco, Cal"          , Home Institute                                                  , 1866         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
84    , "San Francisco, Cal"          , Law Library                                                     ,              ,                      , Law            , "12,500"                    ,                          ,                    ,                          ,                                      ,                                   , 
85    , "San Francisco, Cal"          , Madame Zeitska's Institute                                      , 1870         ,                      , Acad           , 300                         , 50                       ,                    ,                          ,                                      ,                                   , 
86    , "San Francisco, Cal"          , Mechanics' Institute                                            , 1855         , Sub                  , Soc'l          , "24,108"                    , "1,800"                  , "80,000"           , "10,000"                 , "13,879"                             , "4,707"                           , "9,546"
87    , "San Francisco, Cal"          , Mercantile Library                                              , 1853         , Sub                  , Mer            , "41,563"                    , "3,000"                  , "85,940"           , 0                        , "29,000"                             , "6,500"                           , "9,000"
88    , "San Francisco, Cal"          , Military Library                                                , 1873         , Sub                  , Gar            , 900                         ,                          ,                    ,                          ,                                      ,                                   , 
89    , "San Francisco, Cal"          , New Jerusalem Church Free Library                               , 1866         , Free                 , Soc'l          , 610                         , 50                       , 230                , 0                        , 75                                   , 75                                , 0
90    , "San Francisco, Cal"          , Odd Fellows' Library                                            , 1854         , Sub                  , Soc'l          , "26,883"                    , "2,500"                  , "80,000"           , "5,000"                  ,                                      , "2,500"                           , 
91    , "San Francisco, Cal"          , St. Ignatius College                                            , 1855         ,                      , Col            , "5,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
92    , "San Francisco, Cal"          , "Sodality Library, (gentlemen's)"                               ,              ,                      , Soc'y          , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
93    , "San Francisco, Cal"          , "Sodality Library, (ladies')"                                   ,              ,                      , Soc'y          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
94    , "San Francisco, Cal"          , Student's Library                                               ,              ,                      , Soc'y          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
95    , "San Francisco, Cal"          , St. Mary's College                                              , 1863         , Free                 , Col            , "3,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
96    , "San Francisco, Cal"          , St. Mary's Library Association                                  , 1867         ,                      , Soc'l          , 800                         , 0                        ,                    , 0                        ,                                      ,                                   , 
97    , "San Francisco, Cal"          , San Francisco Art Association                                   , 1872         , Sub                  , Soc'l          , 280                         , 42                       , 0                  , 0                        , 100                                  , 100                               , 0
98    , "San Francisco, Cal"          , San Francisco Verein                                            , 1853         , Free                 , Soc'l          , "5,000"                     , 500                      , "2,500"            ,                          ,                                      , "2,000"                           , 800
99    , "San Francisco, Cal"          , Society of California Pioneers                                  , 1850         ,                      , His'l          , "2,500"                     ,                          ,                    , "250,000"                , "15,000"                             ,                                   , "3,500"
100   , "San Francisco, Cal"          , Society of Red Men                                              , 1875         , Sub                  , Soc'l          , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
101   , "San Francisco, Cal"          , Territorial Pioneers of California                              , 1874         ,                      , His'l          , 530                         ,                          ,                    , 0                        , "2,000"                              ,                                   , 
102   , "San Francisco, Cal"          , Theological Seminary of San Francisco                           , 1871         ,                      , The'l          , "5,000"                     , 100                      ,                    ,                          ,                                      ,                                   , 
103   , "San Francisco, Cal"          , United States Mint                                              ,              ,                      , Gov't          , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
104   , "San Francisco, Cal"          , Young Men's Christian Association                               , 1853         , Sub                  , Y.M.C.A.       , "5,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
105   , "San José, Cal"               , College of Notre Dame                                           , 1851         ,                      , Acad           , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
106   , "San José, Cal"               , San José Library Association                                    , 1872         , Sub                  , Soc'l          , "4,000"                     , "1,085"                  , "13,118"           , "1,181"                  , 652                                  , 651                               , 
107   , "San José, Cal"               , State Normal School                                             , 1862         ,                      , Acad           , "1,379"                     , 200                      ,                    , 0                        ,                                      ,                                   , 
108   , "San Mateo, Cal"              , Laurel Hall                                                     , 1864         ,                      , Acad           , 800                         ,                          ,                    , 0                        ,                                      ,                                   , 
109   , "San Quentin, Cal"            , State Prison                                                    ,              ,                      , A. & R.        , "3,103"                     ,                          ,                    ,                          ,                                      ,                                   , 
110   , "Santa Barbara, Cal"          , Franciscan College                                              , 1786         ,                      , Col            , "2,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
111   , "Santa Barbara, Cal"          , Odd Fellows' Library                                            , 1874         , Sub                  , Soc'l          , "1,300"                     , 200                      , "2,400"            , 0                        , $800                                 , $500                              , $300
112   , "Santa Barbara, Cal"          , Santa Barbara College                                           , 1873         ,                      , Acad           , "1,000"                     , 500                      ,                    ,                          , 500                                  ,                                   , 
113   , "Santa Clara, Cal"            , Santa Clara College                                             , 1851         ,                      , Col            , "10,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
114   , "Santa Clara, Cal"            , University of the Pacific                                       , 1851         ,                      , Col            , "1,025"                     ,                          ,                    ,                          ,                                      ,                                   , 
115   , "Santa Cruz, Cal"             , Public School Library                                           ,              ,                      , Sch            , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
116   , "Santa Cruz, Cal"             , Santa Cruz Library                                              , 1868         , Sub                  , Soc'l          , 600                         , 100                      , "2,500"            , 0                        , 800                                  , 200                               , 500
117   , "Santa Inez, Cal"             , College of Our Lady of Guadaloupe                               , 1864         ,                      , Col            , 550                         , 20                       ,                    , 0                        ,                                      ,                                   , 
118   , "Santa Rosa, Cal"             , Christian College                                               ,              ,                      , Col            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
119   , "Santa Rosa, Cal"             , Library Association                                             ,              , Sub                  , Soc'l          , 840                         ,                          ,                    ,                          ,                                      ,                                   , 
120   , "Santa Rosa, Cal"             , Pacific Methodist College                                       , 1861         ,                      , Col            , 490                         , 20                       ,                    ,                          ,                                      ,                                   , 
121   , "Santa Rosa, Cal"             , Ulatus Society                                                  , 1861         ,                      , Soc'y          , 490                         , 20                       ,                    ,                          ,                                      ,                                   , 
122   , "Stockton, Cal"               , Insane Asylum of California                                     , 1869         ,                      , A. & R.        , "1,125"                     ,                          ,                    ,                          ,                                      ,                                   , 
123   , "Stockton, Cal"               , Odd Fellows' Library                                            ,              , Sub                  , Soc'l          , "2,000"                     , 0                        ,                    , 0                        ,                                      ,                                   , 96
124   , "Stockton, Cal"               , Society of Natural History                                      , ..           ,                      ,                ,                             ,                          ,                    ,                          ,                                      ,                                   , 
125   , "Vacaville, Cal"              , California College                                              , 1871         ,                      , Col            , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
126   , "Vallejo, Cal"                , Vallejo Library                                                 , 1856         , Sub                  , Soc'l          , "12,000"                    , 0                        ,                    , 0                        ,                                      ,                                   , 150
127   , "Yreka, Cal"                  , Public School Library                                           ,              ,                      , Sch            , 400                         ,                          ,                    ,                          ,                                      ,                                   , 
128   , "Central City, Colo"          , Public School Library                                           , 1868         , Both                 , Acad           , "1,450"                     ,                          ,                    ,                          ,                                      ,                                   , 
129   , "Colorado Springs, Colo"      , El Paso County Library                                          , 1875         , Sub                  , Soc'l          , 357                         ,                          , "1,500"            , 0                        , 0                                    , 0                                 , 0
130   , "Denver, Colo"                , St. Mary's Academy                                              , 1864         ,                      , Acad           , 500                         , 50                       ,                    ,                          ,                                      ,                                   , 
